altitudemax;file_dbb;0;;altMax
altitudemin;file_dbb;0;;altMin
altitudemoyenne;file_dbb;0;;altMoy
anneerefcommune;file_dbb;0;;anRefCom
anneerefdepartement;file_dbb;0;;anRefDept
cdnom;file_dbb;0;;cdNom
cdref;file_dbb;0;;cdRef
codecommune;file_dbb;0;;cdCom
codedepartement;file_dbb;0;;cdDept
codemaille;file_dbb;0;;cdM10
commentaire;file_dbb;0;;comment
datedetermination;file_dbb;0;dd/MM/yyyy;dateDet
denombrementmax;file_dbb;0;;denbrMax
denombrementmin;file_dbb;0;;denbrMin
determinateuridentite;file_dbb;0;;detId
determinateurnomorganisme;file_dbb;0;;detNomOrg
dspublique;file_dbb;1;;dSPublique
geometrie;file_dbb;0;;WKT
heuredatedebut;file_dbb;1;HH:mm;heureDebut
heuredatefin;file_dbb;1;HH:mm;heureFin
identifiantorigine;file_dbb;0;;idOrigine
identifiantpermanent;file_dbb;1;;permId
identifiantregroupementpermanent;file_dbb;0;;permIdGrp
jddsourceid;file_dbb;0;;jddSourId
jourdatedebut;file_dbb;1;dd/MM/yyyy;dateDebut
jourdatefin;file_dbb;1;dd/MM/yyyy;dateFin
methoderegroupement;file_dbb;0;;methGrp
natureobjetgeo;file_dbb;0;;natObjGeo
nomcite;file_dbb;1;;nomCite
nomcommune;file_dbb;0;;nomCom
nomrefmaille;file_dbb;0;;nomRefM10
objetdenombrement;file_dbb;0;;objDenbr
obscontexte;file_dbb;0;;obsCtx
obsdescription;file_dbb;0;;obsDescr
observateuridentite;file_dbb;1;;obsId
observateurnomorganisme;file_dbb;1;;obsNomOrg
obsmethode;file_dbb;0;;obsMeth
occetatbiologique;file_dbb;0;;ocEtatBio
occmethodedetermination;file_dbb;0;;ocMethDet
occnaturalite;file_dbb;0;;ocNat
occsexe;file_dbb;0;;ocSex
occstadedevie;file_dbb;0;;ocStade
occstatutbiogeographique;file_dbb;0;;ocBiogeo
occstatutbiologique;file_dbb;0;;ocStatBio
organismegestionnairedonnee;file_dbb;1;;orgGestDat
precisiongeometrie;file_dbb;0;;precisGeo
preuveexistante;file_dbb;0;;preuveOui
preuvenonnumerique;file_dbb;0;;preuvNoNum
preuvenumerique;file_dbb;0;;preuvNum
profondeurmax;file_dbb;0;;profMax
profondeurmin;file_dbb;0;;profMin
profondeurmoyenne;file_dbb;0;;profMoy
referencebiblio;file_dbb;0;;refBiblio
statutobservation;file_dbb;1;;statObs
statutsource;file_dbb;1;;statSource
typedenombrement;file_dbb;0;;typDenbr
typeinfogeocommune;file_dbb;0;;typInfGeoC
typeinfogeodepartement;file_dbb;0;;typInfGeoD
typeinfogeomaille;file_dbb;0;;typInfGeoM
typeregroupement;file_dbb;0;;typGrp
versionrefmaille;file_dbb;0;;vRefM10
